gene,mrna,protein
Actb,2187.76,120124358.27
Rps27a,12.79,33958673.77
Eef1a1,3229.54,35632177.98
S100a4,1825.51,24371554.19
Lgals1,2247.05,24190416.04
Hist1h1c,4.31,18048885.06
Anxa2,630.69,24585526.19
Nme1,145.85,17140848.33
Cfl1,729.82,20728410.95
Pfn1,692.25,20300358.21
Tubb5,395.89,28010245.08
Rpl18,408.9,14414148.93
Rps14,341.76,11167559.75
Pkm2,1089.96,17242756.84
H2afv,10.94,10824992.16
Eif5a,437.32,15089910.44
Ran,165.94,13614745.82
Ywhaz,72.15,15356631.58
Rps20,445.93,9541317.71
Rps25,11.34,10959573.92
Hsp90ab1,898.58,16232953.45
Rps7,68.8,11644436.86
Ywhae,248.6,14499283.01
Ldha,388.36,13681447.51
Rpl8,1517.9,8070489.26
Hspd1,230.35,11850629.8
Eif4a1,138.56,12549328.8
Prdx1,182.57,12537698.41
Rpl32,812.49,7144969.73
Rps9,583.5,10084634.81
Mif,1077.67,9122432.42
Rpl26,675.81,7255397.35
Lmna,238.28,9696206.57
Serpinh1,444.32,17332335.28
Rps3,314.71,10338506.54
Rpl6,131.96,9020604.94
S100a6,1193.05,6758515.4
Slc25a5,276.79,8313420.82
Mdh2,184.44,8868597.56
Rps15a,7.41,7234844.23
Rps3a,258.41,7321375.1
Rplp0,1063.71,9811495.24
Npm1,564.79,7382289.7
Rpl31,9.44,8077465.49
Lgals3,174.27,7018196.7
Rpl23,89.17,6745227.87
Rps11,670.2,7242334.97
Rpl38,24.51,7706792.36
Eef1g,172.68,8301769.87
Rps5,816.03,7851361.87
Anxa1,158.26,10130505.17
ENSMUSG00000060419,521.3,7284143.97
Aldoa,337.25,7969332.75
Sod1,298.68,5152332.26
Nme2,445.33,6646289.55
Eef2,820.38,7219485.35
Hspa5,304.85,7752642.5
Rps19,37.75,6000483.35
Acta2,171.31,10693627.59
Rpl30,774.61,6791074.44
Ywhag,93.33,5416386.17
2900073G15Rik,97.98,7780741.93
Rpl13a,366.95,5410761.04
Hnrnpab,174.42,7113509.84
Tagln2,245.12,7015911.75
Rpl27a,31.48,5771435.82
Rps24,38.43,6492806.76
Anxa5,158.92,7559830.29
Arf1,102.88,5944776.81
Rpl4,535.67,6423973.15
Rps15,793.39,5016457.92
Lsm3,53.06,2338948.95
Tpt1,307.89,7490014.24
Hnrnpk,200.87,6226607.94
Snrpd1,41.76,4363606.43
Pdia3,159.36,6237226.93
Ppib,169.55,5623920.23
Pcna,206.43,5396251.62
Rplp1,1671.28,5883774.99
Gsto1,157.28,3776828.4
Rpl18a,18.12,4147276.97
Atp5b,394.35,6819014.18
Cyb5r3,169.08,5023441.46
Msn,164.18,4250796.86
Gstp1,405.77,6573337.9
Rpl15,6.3,4473892.04
Psat1,188.75,4627218.12
Cacybp,78.88,3905920.36
Myh9,378.13,4811847.52
Hspe1,73.62,3613341.72
Cct6a,156.59,4397997.16
Tpi1,147.79,4517168.94
Anxa3,103.36,4113210.12
Gnb2l1,754.79,5344202.09
H2afx,9.95,6096296.17
Phgdh,84.37,3595108.22
Serbp1,70.31,3269116.76
Pfn2,360.19,4480328.81
Phb,28.87,3083405.22
Txn,172.49,3662016.1
Hsp90b1,228.74,4633511.69
Ncl,98.73,4693799.19
Set,35.71,4721950.94
Hsp90aa1,274.96,4791752.38
Rbm3,72.67,2485509.49
Lrrc59,160.13,5149684.08
Ywhaq,29.69,3079361.74
S100a10,436.84,3456862.9
Dstn,158.22,3727044.12
Pebp1,167.35,4192354.0
Atp5a1,126.54,4164432.5
Cct3,246.99,3430038.56
Psma7,191.06,3368000.13
Plac8,330.02,4534043.15
Cav1,97.47,3384190.26
Ptbp1,130.7,3738813.17
Cct5,372.99,2996606.24
Ranbp1,127.67,3018260.32
Fscn1,136.0,2932556.49
Eif6,133.65,2485340.42
Cs,80.96,3362983.0
Psmb2,108.59,2711987.85
Psph,27.18,1923549.11
Hint1,238.03,2674881.98
Arpc4,45.74,2318013.78
Snrpd2,204.02,2440412.37
Ddx5,108.63,3149992.16
Psma3,9.84,2833070.02
Hmgb2,4.48,2367195.11
Hnrnpd,19.8,3537741.38
Sfrs3,35.05,2965294.25
Cct8,111.88,2793181.53
Nono,128.2,2399920.31
Cct2,182.71,3343218.08
Ddx3x,138.3,3236338.01
Cstb,221.34,3101552.98
Esd,78.86,2820157.77
Slc25a3,231.53,2601915.32
Psma4,170.49,2771363.76
Eif1,146.59,2624451.12
Pa2g4,138.24,2502684.11
Bat1,113.7,3404272.78
Psma1,104.83,2441024.57
Psma5,48.21,3452663.15
Cdc2,44.87,2726412.55
Eef1b,437.27,3600833.87
Psma6,146.33,2512015.14
Pgrmc1,99.44,2333145.64
Cct1,152.77,3000911.26
Cct7,176.67,2609536.06
Tm4sf1,1107.41,3278431.15
Vdac1,112.07,3892041.1
Plec1,115.77,2116962.97
Rab7a,169.6,2800617.21
Anp32a,20.35,2390362.45
Got2,77.57,2525665.55
Pabpc1,717.4,2647593.23
Hspa9,134.72,2465874.61
Ppid,61.12,2115889.51
Btf3,98.86,2311964.49
S100a11,399.59,2661217.64
Ube2d3,37.69,2183896.37
Shmt2,76.43,2302374.18
Cct4,101.61,2525523.19
Ube2i,28.91,1816963.01
Hnrnph1,116.8,3325438.05
Flna,323.62,2473869.78
Ybx1,120.28,1972465.61
Ptges3,49.9,2710799.45
Eif2s1,19.96,2297135.19
Pcbp1,154.76,2749275.36
Stip1,134.66,2235301.7
Rhoc,81.0,1844375.46
Sar1a,50.91,2158156.19
Psmb1,119.63,2470929.72
Ppa1,115.93,2599415.05
Fabp5,16.2,1757891.45
Elavl1,13.35,2411556.35
Atp5d,113.6,1087227.1
Phb2,85.63,2187128.82
Ppp1ca,229.18,2783511.45
Nqo1,79.61,1621776.18
Arhgdib,140.86,2315765.65
Hnrnpu,143.69,2430296.47
Prdx2,98.11,2985494.71
Psmb3,256.61,2640225.72
Calr,315.48,2708325.1
Idh2,75.32,2295034.39
Atp5o,130.38,2059451.81
Snrpd3,176.35,2309781.46
Sfpq,57.29,2225735.58
Ahcy,11.62,1984972.66
Ckap4,63.11,1750032.5
Anp32b,205.3,2104570.14
Cltc,132.58,2173190.68
Bcap31,78.25,1608948.1
Sfrs1,49.95,2138181.26
Kpnb1,125.05,2403930.9
Hsd17b10,47.58,1915000.33
Ube2l3,28.65,2134014.24
Cdc42,78.5,2295282.94
Gpi,92.48,2527638.22
